ne2025-01-16 20:32:19.166 | INFO     | __main__:<module>:38 - Logging to file: logs\project_log.log
2025-01-16 20:32:19.167 | INFO     | __main__:main:60 - STARTING utils_logger.py
2025-01-16 20:32:19.167 | INFO     | __main__:log_example:51 - This is an example info message.
2025-01-16 20:32:19.168 | WARNING  | __main__:log_example:52 - This is an example warning message.
2025-01-16 20:32:19.168 | ERROR    | __main__:log_example:53 - This is an example error message.
2025-01-16 20:32:19.168 | INFO     | __main__:main:65 - View the log output at logs\project_log.log
2025-01-16 20:32:19.169 | INFO     | __main__:main:66 - EXITING utils_logger.py.
2025-01-16 21:18:13.887 | INFO     | utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-16 21:18:13.894 | INFO     | __main__:main:43 - START producer...
2025-01-16 21:18:13.895 | INFO     | __main__:main:44 - Generating 100 messages...
2025-01-16 21:18:13.895 | INFO     | __main__:get_message_interval:25 - Messages will be sent every 3 seconds.
2025-01-16 21:18:13.896 | INFO     | __main__:main:53 - I just loved a concert! It was fun.
2025-01-16 21:18:16.897 | INFO     | __main__:main:53 - I just watched a movie! It was shocking.
2025-01-16 21:18:19.898 | INFO     | __main__:main:53 - I just shared a concert! It was fun.
2025-01-16 21:18:22.899 | INFO     | __main__:main:53 - I just loved an app! It was shocking.
2025-01-16 21:18:25.900 | INFO     | __main__:main:53 - I just tried an app! It was shocking.
2025-01-16 21:18:28.902 | INFO     | __main__:main:53 - I just shared a wedding! It was inspiring.
2025-01-16 21:18:31.904 | INFO     | __main__:main:53 - I just loved a story! It was exciting.
2025-01-16 21:18:34.905 | INFO     | __main__:main:53 - I just experienced a concert! It was inspiring.
2025-01-16 21:18:37.906 | INFO     | __main__:main:53 - I just experienced a movie! It was inspiring.
2025-01-16 21:18:40.908 | INFO     | __main__:main:53 - I just tried a story! It was shocking.
2025-01-16 21:18:43.909 | INFO     | __main__:main:53 - I just shared a movie! It was puzzling.
2025-01-16 21:18:46.911 | INFO     | __main__:main:53 - I just watched a movie! It was puzzling.
2025-01-16 21:18:49.913 | INFO     | __main__:main:53 - I just shared a concert! It was boring.
2025-01-16 21:18:52.914 | INFO     | __main__:main:53 - I just loved a concert! It was weird.
2025-01-16 21:18:55.916 | INFO     | __main__:main:53 - I just watched an app! It was fun.
2025-01-16 21:18:58.917 | INFO     | __main__:main:53 - I just watched a movie! It was exciting.
2025-01-16 21:19:01.919 | INFO     | __main__:main:53 - I just loved a concert! It was inspiring.
2025-01-16 21:19:04.920 | INFO     | __main__:main:53 - I just shared a wedding! It was shocking.
2025-01-16 21:19:07.921 | INFO     | __main__:main:53 - I just tried a movie! It was puzzling.
2025-01-16 21:19:10.922 | INFO     | __main__:main:53 - I just loved a movie! It was inspiring.
2025-01-16 21:19:13.924 | INFO     | __main__:main:53 - I just shared a movie! It was puzzling.
2025-01-16 21:19:16.925 | INFO     | __main__:main:53 - I just experienced a story! It was shocking.
2025-01-16 21:19:19.927 | INFO     | __main__:main:53 - I just loved a concert! It was inspiring.
2025-01-16 21:19:22.928 | INFO     | __main__:main:53 - I just loved an app! It was fun.
2025-01-16 21:19:25.930 | INFO     | __main__:main:53 - I just tried a movie! It was puzzling.
2025-01-16 21:19:28.931 | INFO     | __main__:main:53 - I just experienced a movie! It was inspiring.
2025-01-16 21:19:31.933 | INFO     | __main__:main:53 - I just shared a movie! It was inspiring.
2025-01-16 21:19:34.934 | INFO     | __main__:main:53 - I just shared an app! It was fun.
2025-01-16 21:19:37.935 | INFO     | __main__:main:53 - I just experienced a concert! It was weird.
2025-01-16 21:19:40.936 | INFO     | __main__:main:53 - I just experienced a movie! It was exciting.
2025-01-16 21:19:43.937 | INFO     | __main__:main:53 - I just shared a concert! It was weird.
2025-01-16 21:19:46.938 | INFO     | __main__:main:53 - I just tried a wedding! It was shocking.
